Ðò	Æð	ÖÕ	¦¤X	¦¤Y	¦¤Z
1	P4	P1	-1632.834033	-445.744172	-1.062538	
2	P1	P2	-519.547033	2730.007828	1.094462	
3	P2	P5	1744.161555	37.149893	1.888930	
4	P2	P6	1484.404650	2952.890797	1.333214	
5	P2	P3	-371.074238	3287.182139	0.903319	
6	P6	P3	-1855.478888	334.291343	-0.429895	
7	P3	P7	1391.588874	2302.883482	-0.110576	
8	P8	P4	-1410.195543	761.460378	0.539317	
9	P4	P5	-408.219510	2321.413549	1.920855	
10	P5	P9	1966.845950	-408.559462	-0.456499	
11	P6	P5	259.756905	-2915.740904	0.555716	
12	P10	P6	-1410.798802	993.277599	-0.618379	
13	P6	P11	1410.775845	1006.724132	2.212483	
14	P7	P6	463.890014	-2637.174825	0.540471	
15	P7	P11	1874.665860	-1630.450693	2.752954	
16	P12	P8	-1280.305647	-1652.858158	-0.564009	
17	P9	P8	-148.430896	-2674.314465	-2.003674	
18	P9	P12	1131.874751	-1021.456307	-1.439665	
19	P13	P9	-1057.639149	-1040.026543	1.576321	
20	P9	P10	-815.804053	2331.022767	0.519161	
21	P10	P14	1687.889749	343.294169	-0.974459	
22	P11	P14	1687.912705	-1656.707562	-2.568563	
23	P13	P12	74.235602	-2061.482850	0.136656	
24	P14	P13	185.553453	-1634.290393	-1.121023	
